pc_time,current_mA,voltage1_V,voltage2_V,status,sample_count
2026-08-14 16:11:42.755,36.346,18.173,18.173,0x0002,6750
2026-08-14 16:11:43.256,36.348,18.174,18.174,0x0002,6755
2026-08-14 16:11:43.769,36.348,18.174,18.174,0x0002,6761
2026-08-14 16:11:44.283,36.346,18.173,18.173,0x0002,6766
2026-08-14 16:11:44.799,36.346,18.173,18.173,0x0002,6771
2026-08-14 16:11:45.314,36.348,18.174,18.174,0x0002,6776
2026-08-14 16:11:45.828,36.348,18.174,18.174,0x0002,6781
2026-08-14 16:11:46.342,36.348,18.174,18.174,0x0002,6786
2026-08-14 16:11:46.854,36.346,18.173,18.173,0x0002,6791
2026-08-14 16:11:47.364,36.348,18.174,18.174,0x0002,6797
2026-08-14 16:11:47.866,36.348,18.174,18.174,0x0002,6802
2026-08-14 16:11:48.378,36.346,18.173,18.173,0x0002,6807
2026-08-14 16:11:48.892,36.346,18.173,18.173,0x0002,6812
2026-08-14 16:11:49.404,36.348,18.174,18.174,0x0002,6817
2026-08-14 16:11:49.914,36.346,18.173,18.173,0x0002,6822
2026-08-14 16:11:50.429,36.346,18.173,18.173,0x0002,6827
2026-08-14 16:11:50.944,36.346,18.173,18.173,0x0002,6832
2026-08-14 16:11:51.445,36.348,18.174,18.174,0x0002,6837
2026-08-14 16:11:51.959,36.348,18.174,18.174,0x0002,6842
2026-08-14 16:11:52.472,36.346,18.173,18.173,0x0002,6848
2026-08-14 16:11:52.983,36.348,18.174,18.174,0x0002,6853
2026-08-14 16:11:53.497,36.348,18.174,18.174,0x0002,6858
2026-08-14 16:11:54.009,36.348,18.174,18.174,0x0002,6863
2026-08-14 16:11:54.522,36.348,18.174,18.174,0x0002,6868
2026-08-14 16:11:55.037,36.348,18.174,18.174,0x0002,6873
2026-08-14 16:11:55.551,36.348,18.174,18.174,0x0002,6878
2026-08-14 16:11:56.065,36.349,18.174,18.174,0x0002,6884
2026-08-14 16:11:56.581,36.348,18.174,18.174,0x0002,6889
2026-08-14 16:11:57.094,36.348,18.174,18.174,0x0002,6894
2026-08-14 16:11:57.609,36.348,18.174,18.174,0x0002,6899
2026-08-14 16:11:58.124,36.348,18.174,18.174,0x0002,6904
2026-08-14 16:11:58.639,36.348,18.174,18.174,0x0002,6909
2026-08-14 16:11:59.152,36.348,18.174,18.174,0x0002,6914
2026-08-14 16:11:59.668,36.348,18.174,18.174,0x0002,6920
2026-08-14 16:12:00.169,36.348,18.174,18.174,0x0002,6925
2026-08-14 16:12:00.682,36.349,18.174,18.174,0x0002,6930
2026-08-14 16:12:01.183,36.348,18.174,18.174,0x0002,6935
2026-08-14 16:12:01.698,36.349,18.174,18.174,0x0002,6940
2026-08-14 16:12:02.212,36.349,18.174,18.174,0x0002,6945
2026-08-14 16:12:02.712,36.349,18.174,18.174,0x0002,6950
2026-08-14 16:12:03.221,36.349,18.174,18.174,0x0002,6955
2026-08-14 16:12:03.736,36.349,18.174,18.174,0x0002,6960
2026-08-14 16:12:04.251,36.349,18.174,18.174,0x0002,6965
2026-08-14 16:12:05.698,36.348,18.174,18.174,0x0002,6980
2026-08-14 16:12:06.211,36.349,18.174,18.174,0x0002,6985
2026-08-14 16:12:06.713,36.348,18.174,18.174,0x0002,6990
2026-08-14 16:12:07.599,36.349,18.174,18.174,0x0002,6999
2026-08-14 16:12:08.109,36.348,18.174,18.174,0x0002,7004
2026-08-14 16:12:08.964,36.348,18.174,18.174,0x0002,7013
2026-08-14 16:12:09.476,36.349,18.174,18.174,0x0002,7018
2026-08-14 16:12:10.382,36.349,18.174,18.174,0x0002,7027
2026-08-14 16:12:10.897,36.350,18.175,18.175,0x0002,7032
2026-08-14 16:12:11.413,36.349,18.174,18.174,0x0002,7037
2026-08-14 16:12:11.927,36.349,18.174,18.174,0x0002,7042
2026-08-14 16:12:12.442,36.350,18.175,18.175,0x0002,7047
2026-08-14 16:12:12.954,36.349,18.174,18.174,0x0002,7052
2026-08-14 16:12:13.454,36.349,18.174,18.174,0x0002,7057
2026-08-14 16:12:13.957,36.349,18.174,18.174,0x0002,7062
2026-08-14 16:12:14.472,36.359,18.179,18.179,0x0002,7066
2026-08-14 16:12:14.986,36.350,18.175,18.175,0x0002,7071
2026-08-14 16:12:15.501,36.350,18.175,18.175,0x0002,7076
2026-08-14 16:12:16.015,36.349,18.174,18.174,0x0002,7081
